key,sl_no,source_row,boq_group,at_sales_cloud,in_sales_cloud,ramco_erp,rdso,description,uom,markers,duplicate_code,driver_type,driver_ref,driver_label,driver_formula,qty_abs,qty_yard,qty_total
BD114,111,114,,,,102344,,"SK140-011, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 9.8m",,,,none,,,,0,0,0
BD115,112,115,,,,102345,,"SK140-010, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 4.8m",,,,none,,,,0,0,0
BD116,113,116,,,,102346,,"SK140-010, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 9.8m",,,,none,,,,0,0,0
BD117,114,117,,,,102347,,"SK140-010, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 14.8m",,,,none,,,,0,0,0
BD118,115,118,,,,102418,,"SK140-004, RSR180-001 GS05, BBK17.5, AT Protection tube 9.8m",,@,,none,,,,0,0,0
BD119,116,119,,,,102419,,"SK140-012, RSR180-001 GS05, BBK11, AT Protection tube 9.8m",,$,,none,,,,0,0,0
BD120,117,120,,,,102369,,"SK140-012, RSR180-001 GS05, BBIK M12-17.5 GS02, IN Protection tube 4.8m",,,,none,,,,0,0,0
BD121,118,121,,,,102370,,"SK140-012, RSR180-001 GS05, BBIK M12-17.5 GS02, IN Protection tube 9.8m",,,,none,,,,0,0,0
BD122,119,122,,,,102371,,"SK140-012, RSR180-001 GS05, BBIK M12-17.5 GS02, AT Protection tube 14.8m",,,,none,,,,0,0,0
BD123,120,123,,,,102667,,"SK140-004, RSR180-001 GS05, BBIK M12 17.5, Protection tube 9.8m",,@,,none,,,,0,0,0
BD124,121,124,,,,102420,,"SK140-013, RSR180-001 GS05, BBIK M12-17.5 GS02 , IN Protection Tube 4.8m",,!$,,none,,,,0,0,0
BD125,122,125,,,,102421,,"SK140-013, RSR180-001 GS05, BBIK M12-17.5 GS02 , IN Protection Tube 9.8m",,!$,,none,,,,0,0,0
BD126,123,126,,,,102426,,"SM - SK140-011, RSR180-001 GS05, BBIK M12-22 GS02, IN protection tube 14.8m",,!$,,none,,,,0,0,0
BD127,124,127,Outdoor,,,102428,,"SK140-011, RSR180-001 GS05, BBIK M12-22 GS02, IN protection tube 14.8m",,,,none,,,,0,0,0
BD128,125,128,,,,102429,,"SK140-012, RSR180-001 GS05, BBIK M12-17.5 GS02, IN protection tube 14.8m",,,,none,,,,0,0,0
BD129,126,129,Outdoor,,,101880,,"SK140-011, RSR180-001 GS05, BBIK M12-22 GS02 , IN Protection tube 9.8m",,,,none,,,,0,0,0
BD130,127,130,,23288,102785,102785,,COM-MS101 GS01,,,,none,,,,0,0,0
BD131,128,131,,21118,101725,101725,,Frauscher Diagnostic SystemFSD 101-SNMP-GS01 For FAdC-R2,,!@,,none,,,,0,0,0
BD132,129,132,,18572,100429,100429,,ABP002-2 21TE GS03 CC,,,,none,,,,0,0,0
BD133,130,133,,18557,100596,100596,,SIC006 GS01 CC,,,,none,,,,0,0,0
BD134,131,134,,18577,100595,100595,,ACB119 GS04 CC,,,,none,,,,0,0,0
BD135,132,135,,20765,100600,100600,,ACB130 GS04 CC,,,,none,,,,0,0,0
BD136,133,136,,22206,100599,100599,,ACB129 GS04 CC,,,,none,,,,0,0,0
BD137,134,137,,18558,100598,100598,,ACB120 GS04 CC,,,,none,,,,0,0,0
BD138,135,138,,25002,100597,100597,,IMC010 GS05 CC,,,,none,,,,0,0,0
BD139,136,139,,22230,100612,100612,,FDS GS02 CC for ACS2000,,,,none,,,,0,0,0
BD140,137,140,,18680,100603,100603,,BTE001 GS01 CC,,,,none,,,,0,0,0
BD141,138,141,,23904,102070,102070,,Communication board COM-FSE101 GS03,,,,none,,,,0,0,0
BD142,139,142,,102770,102770,102770,,Reset Cubicle with LSZH cable duct-RM- For Metro,,,,none,,,,0,0,0
BD143,140,143,,102771,102771,102771,,Relay rack FRR-001 with LSZH cable duct RM- For Metro,,,,none,,,,0,0,0
BD144,141,144,,102226,102226,102226,,"HIRSCHMANN 19"" rack mount GRS1020 Industrial managed Fast Ethernet Switch",,!,,none,,,,0,0,0
